ComplaintID,ComplaintText,Category,UrgencyLevel,Sentiment,Authority
3055,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Public Works
3056,This is a complaint about Waste Management issue.,Electricity,Low,Neutral,Electricity Board
3057,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Electricity Board
3058,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Public Works
3059,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Water Department
3060,This is a complaint about Road Damage issue.,Road Damage,Medium,Neutral,Public Works
3061,This is a complaint about Water Supply issue.,Road Damage,High,Positive,Public Works
3062,This is a complaint about Electricity issue.,Water Supply,Medium,Negative,Water Department
3063,This is a complaint about Road Damage issue.,Waste Management,Low,Neutral,Public Works
3064,This is a complaint about Electricity issue.,Waste Management,Medium,Positive,Water Department
3065,This is a complaint about Water Supply issue.,Electricity,High,Positive,Electricity Board
3066,This is a complaint about Electricity issue.,Waste Management,Medium,Neutral,Public Works
3067,This is a complaint about Electricity issue.,Electricity,Low,Negative,Electricity Board
3068,This is a complaint about Water Supply issue.,Road Damage,High,Positive,Electricity Board
3069,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Water Department
3070,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Electricity Board
3071,This is a complaint about Road Damage issue.,Electricity,High,Neutral,Public Works
3072,This is a complaint about Water Supply issue.,Water Supply,High,Positive,Electricity Board
3073,This is a complaint about Road Damage issue.,Water Supply,High,Positive,Electricity Board
3074,This is a complaint about Water Supply issue.,Waste Management,High,Neutral,Waste Management Division
3075,This is a complaint about Road Damage issue.,Electricity,Low,Positive,Public Works
3076,This is a complaint about Waste Management issue.,Road Damage,Low,Positive,Electricity Board
3077,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Water Department
3078,This is a complaint about Waste Management issue.,Electricity,Medium,Negative,Waste Management Division
3079,This is a complaint about Road Damage issue.,Water Supply,Low,Neutral,Public Works
3080,This is a complaint about Water Supply issue.,Road Damage,Low,Positive,Waste Management Division
3081,This is a complaint about Water Supply issue.,Water Supply,Low,Neutral,Waste Management Division
3082,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Public Works
3083,This is a complaint about Road Damage issue.,Road Damage,High,Negative,Public Works
3084,This is a complaint about Road Damage issue.,Water Supply,Low,Negative,Waste Management Division
3085,This is a complaint about Water Supply issue.,Water Supply,High,Negative,Waste Management Division
3086,This is a complaint about Waste Management issue.,Waste Management,Medium,Positive,Water Department
3087,This is a complaint about Water Supply issue.,Road Damage,Low,Positive,Waste Management Division
3088,This is a complaint about Waste Management issue.,Water Supply,Low,Neutral,Water Department
3089,This is a complaint about Water Supply issue.,Water Supply,Medium,Positive,Public Works
3090,This is a complaint about Road Damage issue.,Road Damage,High,Negative,Water Department
3091,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Electricity Board
3092,This is a complaint about Electricity issue.,Waste Management,Medium,Negative,Public Works
3093,This is a complaint about Electricity issue.,Road Damage,High,Positive,Public Works
3094,This is a complaint about Water Supply issue.,Electricity,Medium,Positive,Public Works
3095,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Electricity Board
3096,This is a complaint about Road Damage issue.,Waste Management,Low,Negative,Public Works
3097,This is a complaint about Road Damage issue.,Road Damage,Medium,Positive,Water Department
3098,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Water Department
3099,This is a complaint about Electricity issue.,Waste Management,High,Positive,Water Department
3100,This is a complaint about Water Supply issue.,Waste Management,Low,Neutral,Public Works
3101,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Water Department
3102,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Electricity Board
3103,This is a complaint about Waste Management issue.,Waste Management,High,Negative,Water Department
3104,This is a complaint about Water Supply issue.,Electricity,High,Positive,Water Department
3105,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Electricity Board
3106,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Electricity Board
3107,This is a complaint about Electricity issue.,Water Supply,High,Neutral,Public Works
3108,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Water Department
3109,This is a complaint about Road Damage issue.,Waste Management,Medium,Neutral,Electricity Board
3110,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Public Works
3111,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Waste Management Division
3112,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Waste Management Division
3113,This is a complaint about Water Supply issue.,Electricity,High,Negative,Public Works
3114,This is a complaint about Water Supply issue.,Waste Management,High,Neutral,Public Works
3115,This is a complaint about Water Supply issue.,Water Supply,Low,Positive,Water Department
3116,This is a complaint about Electricity issue.,Waste Management,High,Positive,Water Department
3117,This is a complaint about Road Damage issue.,Water Supply,High,Positive,Water Department
3118,This is a complaint about Waste Management issue.,Electricity,High,Positive,Waste Management Division
3119,This is a complaint about Water Supply issue.,Waste Management,High,Positive,Waste Management Division
3120,This is a complaint about Road Damage issue.,Road Damage,Medium,Negative,Water Department
3121,This is a complaint about Water Supply issue.,Waste Management,Low,Negative,Electricity Board
3122,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Water Department
3123,This is a complaint about Waste Management issue.,Electricity,Low,Positive,Water Department
3124,This is a complaint about Water Supply issue.,Water Supply,High,Positive,Water Department
3125,This is a complaint about Water Supply issue.,Waste Management,Medium,Neutral,Water Department
3126,This is a complaint about Electricity issue.,Water Supply,High,Positive,Water Department
3127,This is a complaint about Electricity issue.,Electricity,Medium,Positive,Electricity Board
3128,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Waste Management Division
3129,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Public Works
3130,This is a complaint about Water Supply issue.,Road Damage,Medium,Negative,Water Department
3131,This is a complaint about Road Damage issue.,Road Damage,High,Neutral,Waste Management Division
3132,This is a complaint about Waste Management issue.,Waste Management,Medium,Neutral,Electricity Board
3133,This is a complaint about Water Supply issue.,Electricity,Medium,Positive,Waste Management Division
3134,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Electricity Board
3135,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Waste Management Division
3136,This is a complaint about Road Damage issue.,Electricity,Medium,Positive,Public Works
3137,This is a complaint about Water Supply issue.,Water Supply,High,Neutral,Water Department
3138,This is a complaint about Water Supply issue.,Waste Management,High,Positive,Water Department
3139,This is a complaint about Electricity issue.,Electricity,Medium,Positive,Public Works
3140,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Water Department
3141,This is a complaint about Water Supply issue.,Road Damage,Medium,Negative,Electricity Board
3142,This is a complaint about Water Supply issue.,Electricity,High,Neutral,Water Department
3143,This is a complaint about Road Damage issue.,Waste Management,Medium,Positive,Public Works
3144,This is a complaint about Electricity issue.,Waste Management,High,Positive,Waste Management Division
3145,This is a complaint about Road Damage issue.,Road Damage,High,Positive,Water Department
3146,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Electricity Board
3147,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Water Department
3148,This is a complaint about Waste Management issue.,Electricity,Low,Positive,Public Works
3149,This is a complaint about Electricity issue.,Road Damage,Low,Negative,Water Department
3150,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Water Department
3151,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Waste Management Division
3152,This is a complaint about Waste Management issue.,Electricity,Low,Neutral,Electricity Board
3153,This is a complaint about Electricity issue.,Water Supply,Low,Positive,Public Works
3154,This is a complaint about Water Supply issue.,Road Damage,High,Positive,Public Works
3155,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Water Department
3156,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Water Department
3157,This is a complaint about Electricity issue.,Waste Management,High,Positive,Water Department
3158,This is a complaint about Electricity issue.,Waste Management,Medium,Positive,Electricity Board
3159,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Public Works
3160,This is a complaint about Waste Management issue.,Electricity,Low,Neutral,Public Works
3161,This is a complaint about Electricity issue.,Water Supply,Medium,Positive,Water Department
3162,This is a complaint about Road Damage issue.,Electricity,Medium,Negative,Waste Management Division
3163,This is a complaint about Electricity issue.,Water Supply,Medium,Neutral,Waste Management Division
3164,This is a complaint about Water Supply issue.,Waste Management,High,Negative,Electricity Board
3165,This is a complaint about Electricity issue.,Waste Management,Low,Neutral,Water Department
3166,This is a complaint about Electricity issue.,Water Supply,Medium,Neutral,Waste Management Division
3167,This is a complaint about Road Damage issue.,Road Damage,Medium,Neutral,Electricity Board
3168,This is a complaint about Water Supply issue.,Road Damage,Medium,Positive,Water Department
3169,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Water Department
3170,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Waste Management Division
3171,This is a complaint about Water Supply issue.,Electricity,Low,Neutral,Electricity Board
3172,This is a complaint about Waste Management issue.,Electricity,Medium,Neutral,Public Works
3173,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Electricity Board
3174,This is a complaint about Electricity issue.,Water Supply,High,Negative,Water Department
3175,This is a complaint about Electricity issue.,Water Supply,High,Negative,Waste Management Division
3176,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Water Department
3177,This is a complaint about Water Supply issue.,Water Supply,Low,Positive,Public Works
3178,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Electricity Board
3179,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Public Works
3180,This is a complaint about Water Supply issue.,Waste Management,Medium,Positive,Waste Management Division
3181,This is a complaint about Waste Management issue.,Waste Management,Medium,Neutral,Waste Management Division
3182,This is a complaint about Water Supply issue.,Waste Management,Low,Neutral,Electricity Board
3183,This is a complaint about Water Supply issue.,Road Damage,High,Neutral,Public Works
3184,This is a complaint about Water Supply issue.,Waste Management,High,Negative,Electricity Board
3185,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Electricity Board
3186,This is a complaint about Water Supply issue.,Electricity,Low,Neutral,Water Department
3187,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Water Department
3188,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Public Works
3189,This is a complaint about Road Damage issue.,Road Damage,Low,Negative,Electricity Board
3190,This is a complaint about Water Supply issue.,Road Damage,Medium,Negative,Electricity Board
3191,This is a complaint about Waste Management issue.,Road Damage,Low,Neutral,Electricity Board
3192,This is a complaint about Road Damage issue.,Electricity,Low,Positive,Electricity Board
3193,This is a complaint about Electricity issue.,Road Damage,Medium,Neutral,Electricity Board
3194,This is a complaint about Water Supply issue.,Road Damage,Medium,Negative,Electricity Board
3195,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Water Department
3196,This is a complaint about Electricity issue.,Water Supply,Medium,Negative,Public Works
3197,This is a complaint about Electricity issue.,Water Supply,High,Positive,Electricity Board
3198,This is a complaint about Electricity issue.,Electricity,Medium,Positive,Electricity Board
3199,This is a complaint about Electricity issue.,Electricity,Medium,Positive,Waste Management Division
3200,This is a complaint about Road Damage issue.,Water Supply,Low,Positive,Waste Management Division
3201,This is a complaint about Road Damage issue.,Road Damage,Low,Positive,Water Department
3202,This is a complaint about Road Damage issue.,Water Supply,Low,Neutral,Waste Management Division
3203,This is a complaint about Waste Management issue.,Water Supply,Medium,Neutral,Electricity Board
3204,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Electricity Board
3205,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Water Department
3206,This is a complaint about Electricity issue.,Waste Management,Low,Positive,Water Department
3207,This is a complaint about Electricity issue.,Road Damage,High,Negative,Water Department
3208,This is a complaint about Electricity issue.,Water Supply,Medium,Neutral,Public Works
3209,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Public Works
3210,This is a complaint about Electricity issue.,Waste Management,Low,Neutral,Water Department
3211,This is a complaint about Electricity issue.,Water Supply,High,Positive,Public Works
3212,This is a complaint about Waste Management issue.,Waste Management,High,Negative,Public Works
3213,This is a complaint about Water Supply issue.,Water Supply,Low,Neutral,Waste Management Division
3214,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Waste Management Division
3215,This is a complaint about Waste Management issue.,Water Supply,Low,Negative,Water Department
3216,This is a complaint about Road Damage issue.,Water Supply,High,Negative,Waste Management Division
3217,This is a complaint about Water Supply issue.,Road Damage,Medium,Positive,Electricity Board
3218,This is a complaint about Waste Management issue.,Waste Management,Medium,Neutral,Water Department
3219,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Waste Management Division
3220,This is a complaint about Water Supply issue.,Road Damage,High,Neutral,Public Works
3221,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Waste Management Division
3222,This is a complaint about Road Damage issue.,Electricity,Low,Positive,Electricity Board
3223,This is a complaint about Waste Management issue.,Road Damage,Medium,Negative,Public Works
3224,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Waste Management Division
3225,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Water Department
3226,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Electricity Board
3227,This is a complaint about Electricity issue.,Waste Management,Medium,Neutral,Waste Management Division
3228,This is a complaint about Waste Management issue.,Electricity,Medium,Negative,Electricity Board
3229,This is a complaint about Electricity issue.,Electricity,High,Positive,Electricity Board
3230,This is a complaint about Electricity issue.,Electricity,Low,Negative,Waste Management Division
3231,This is a complaint about Road Damage issue.,Waste Management,High,Neutral,Waste Management Division
3232,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Public Works
3233,This is a complaint about Waste Management issue.,Waste Management,High,Negative,Waste Management Division
3234,This is a complaint about Electricity issue.,Water Supply,High,Negative,Waste Management Division
3235,This is a complaint about Road Damage issue.,Electricity,Medium,Positive,Public Works
3236,This is a complaint about Road Damage issue.,Water Supply,High,Negative,Water Department
3237,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Electricity Board
3238,This is a complaint about Water Supply issue.,Road Damage,High,Negative,Waste Management Division
3239,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Electricity Board
3240,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Water Department
3241,This is a complaint about Water Supply issue.,Road Damage,Medium,Positive,Water Department
3242,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Water Department
3243,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Public Works
3244,This is a complaint about Electricity issue.,Electricity,Medium,Positive,Water Department
3245,This is a complaint about Waste Management issue.,Waste Management,Medium,Positive,Water Department
3246,This is a complaint about Road Damage issue.,Water Supply,Medium,Positive,Waste Management Division
3247,This is a complaint about Water Supply issue.,Road Damage,Low,Positive,Public Works
3248,This is a complaint about Waste Management issue.,Waste Management,Medium,Negative,Water Department
3249,This is a complaint about Waste Management issue.,Waste Management,Medium,Neutral,Electricity Board
3250,This is a complaint about Electricity issue.,Electricity,Low,Neutral,Water Department
3251,This is a complaint about Electricity issue.,Waste Management,Medium,Negative,Electricity Board
3252,This is a complaint about Electricity issue.,Electricity,Low,Positive,Water Department
3253,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Electricity Board
3254,This is a complaint about Road Damage issue.,Road Damage,High,Positive,Water Department
3255,This is a complaint about Waste Management issue.,Road Damage,Medium,Negative,Electricity Board
3256,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Public Works
3257,This is a complaint about Electricity issue.,Water Supply,High,Neutral,Water Department
3258,This is a complaint about Water Supply issue.,Waste Management,Low,Negative,Water Department
3259,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Public Works
3260,This is a complaint about Waste Management issue.,Road Damage,Medium,Positive,Water Department
3261,This is a complaint about Electricity issue.,Water Supply,Low,Positive,Water Department
3262,This is a complaint about Road Damage issue.,Road Damage,Low,Positive,Electricity Board
3263,This is a complaint about Water Supply issue.,Road Damage,Low,Positive,Public Works
3264,This is a complaint about Water Supply issue.,Road Damage,High,Neutral,Electricity Board
3265,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Electricity Board
3266,This is a complaint about Electricity issue.,Water Supply,High,Neutral,Water Department
3267,This is a complaint about Waste Management issue.,Waste Management,Low,Neutral,Water Department
3268,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Water Department
3269,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Electricity Board
3270,This is a complaint about Waste Management issue.,Water Supply,High,Neutral,Water Department
3271,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Water Department
3272,This is a complaint about Electricity issue.,Waste Management,Medium,Neutral,Water Department
3273,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Public Works
3274,This is a complaint about Waste Management issue.,Road Damage,Low,Neutral,Waste Management Division
3275,This is a complaint about Electricity issue.,Electricity,Low,Positive,Water Department
3276,This is a complaint about Road Damage issue.,Road Damage,Low,Negative,Water Department
3277,This is a complaint about Road Damage issue.,Road Damage,Medium,Negative,Waste Management Division
3278,This is a complaint about Electricity issue.,Water Supply,Medium,Negative,Public Works
3279,This is a complaint about Water Supply issue.,Waste Management,Medium,Positive,Waste Management Division
3280,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Waste Management Division
3281,This is a complaint about Road Damage issue.,Electricity,Low,Neutral,Waste Management Division
3282,This is a complaint about Water Supply issue.,Water Supply,Medium,Neutral,Electricity Board
3283,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Waste Management Division
3284,This is a complaint about Waste Management issue.,Road Damage,Low,Neutral,Electricity Board
3285,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Electricity Board
3286,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Water Department
3287,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Public Works
3288,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Electricity Board
3289,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Public Works
3290,This is a complaint about Electricity issue.,Waste Management,Low,Positive,Electricity Board
3291,This is a complaint about Road Damage issue.,Electricity,Low,Neutral,Water Department
3292,This is a complaint about Water Supply issue.,Water Supply,Medium,Positive,Water Department
3293,This is a complaint about Road Damage issue.,Road Damage,High,Positive,Public Works
3294,This is a complaint about Water Supply issue.,Electricity,Medium,Positive,Waste Management Division
3295,This is a complaint about Road Damage issue.,Electricity,High,Neutral,Public Works
3296,This is a complaint about Water Supply issue.,Waste Management,High,Neutral,Water Department
3297,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Public Works
3298,This is a complaint about Waste Management issue.,Electricity,High,Neutral,Electricity Board
3299,This is a complaint about Waste Management issue.,Water Supply,Low,Negative,Waste Management Division
3300,This is a complaint about Water Supply issue.,Water Supply,High,Negative,Public Works
3301,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Waste Management Division
3302,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Public Works
3303,This is a complaint about Waste Management issue.,Waste Management,Low,Negative,Water Department
3304,This is a complaint about Electricity issue.,Water Supply,Medium,Negative,Public Works
3305,This is a complaint about Road Damage issue.,Waste Management,Medium,Neutral,Electricity Board
3306,This is a complaint about Road Damage issue.,Road Damage,Low,Positive,Waste Management Division
3307,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Electricity Board
3308,This is a complaint about Water Supply issue.,Electricity,Medium,Positive,Electricity Board
3309,This is a complaint about Electricity issue.,Waste Management,Low,Positive,Electricity Board
3310,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Water Department
3311,This is a complaint about Water Supply issue.,Road Damage,High,Negative,Electricity Board
3312,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Water Department
3313,This is a complaint about Electricity issue.,Electricity,High,Negative,Electricity Board
3314,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Waste Management Division
3315,This is a complaint about Road Damage issue.,Waste Management,Low,Neutral,Water Department
3316,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Water Department
3317,This is a complaint about Electricity issue.,Waste Management,High,Negative,Electricity Board
3318,This is a complaint about Water Supply issue.,Waste Management,Low,Neutral,Waste Management Division
3319,This is a complaint about Electricity issue.,Water Supply,High,Negative,Water Department
3320,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Public Works
3321,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Waste Management Division
3322,This is a complaint about Waste Management issue.,Waste Management,High,Negative,Waste Management Division
3323,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Waste Management Division
3324,This is a complaint about Water Supply issue.,Electricity,Low,Positive,Public Works
3325,This is a complaint about Electricity issue.,Road Damage,Medium,Positive,Waste Management Division
3326,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Waste Management Division
3327,This is a complaint about Waste Management issue.,Electricity,High,Positive,Water Department
3328,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Public Works
3329,This is a complaint about Waste Management issue.,Road Damage,Low,Negative,Public Works
3330,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Electricity Board
3331,This is a complaint about Road Damage issue.,Water Supply,Medium,Positive,Waste Management Division
3332,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Electricity Board
3333,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Waste Management Division
3334,This is a complaint about Water Supply issue.,Road Damage,Medium,Negative,Public Works
3335,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Waste Management Division
3336,This is a complaint about Waste Management issue.,Road Damage,Low,Negative,Public Works
3337,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Waste Management Division
3338,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Electricity Board
3339,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Public Works
3340,This is a complaint about Water Supply issue.,Road Damage,Low,Neutral,Electricity Board
3341,This is a complaint about Electricity issue.,Road Damage,Low,Negative,Water Department
3342,This is a complaint about Water Supply issue.,Road Damage,Low,Positive,Waste Management Division
3343,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Waste Management Division
3344,This is a complaint about Electricity issue.,Waste Management,Low,Neutral,Electricity Board
3345,This is a complaint about Road Damage issue.,Electricity,High,Neutral,Electricity Board
3346,This is a complaint about Electricity issue.,Electricity,Low,Neutral,Waste Management Division
3347,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Public Works
3348,This is a complaint about Road Damage issue.,Road Damage,Low,Positive,Waste Management Division
3349,This is a complaint about Road Damage issue.,Water Supply,Medium,Positive,Waste Management Division
3350,This is a complaint about Waste Management issue.,Waste Management,Medium,Positive,Water Department
3351,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Water Department
3352,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Electricity Board
3353,This is a complaint about Electricity issue.,Electricity,Low,Positive,Water Department
3354,This is a complaint about Electricity issue.,Waste Management,Medium,Neutral,Waste Management Division
3355,This is a complaint about Electricity issue.,Waste Management,Medium,Neutral,Electricity Board
3356,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Electricity Board
3357,This is a complaint about Electricity issue.,Road Damage,Low,Positive,Electricity Board
3358,This is a complaint about Waste Management issue.,Water Supply,Low,Neutral,Waste Management Division
3359,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Waste Management Division
3360,This is a complaint about Water Supply issue.,Waste Management,Low,Neutral,Electricity Board
3361,This is a complaint about Electricity issue.,Water Supply,High,Positive,Waste Management Division
3362,This is a complaint about Road Damage issue.,Road Damage,Medium,Positive,Electricity Board
3363,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Electricity Board
3364,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Water Department
3365,This is a complaint about Waste Management issue.,Road Damage,Medium,Positive,Public Works
3366,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Waste Management Division
3367,This is a complaint about Road Damage issue.,Water Supply,Medium,Neutral,Electricity Board
3368,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Waste Management Division
3369,This is a complaint about Electricity issue.,Electricity,Medium,Neutral,Public Works
3370,This is a complaint about Water Supply issue.,Road Damage,High,Negative,Waste Management Division
3371,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Waste Management Division
3372,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Public Works
3373,This is a complaint about Road Damage issue.,Water Supply,Medium,Neutral,Electricity Board
3374,This is a complaint about Electricity issue.,Waste Management,High,Positive,Public Works
3375,This is a complaint about Road Damage issue.,Road Damage,High,Positive,Waste Management Division
3376,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Water Department
3377,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Water Department
3378,This is a complaint about Electricity issue.,Road Damage,High,Neutral,Electricity Board
3379,This is a complaint about Water Supply issue.,Road Damage,Low,Neutral,Waste Management Division
3380,This is a complaint about Road Damage issue.,Waste Management,Medium,Positive,Electricity Board
3381,This is a complaint about Waste Management issue.,Water Supply,Low,Neutral,Water Department
3382,This is a complaint about Waste Management issue.,Waste Management,Low,Negative,Water Department
3383,This is a complaint about Road Damage issue.,Waste Management,Medium,Positive,Public Works
3384,This is a complaint about Waste Management issue.,Waste Management,Medium,Negative,Electricity Board
3385,This is a complaint about Water Supply issue.,Water Supply,High,Positive,Waste Management Division
3386,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Electricity Board
3387,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Waste Management Division
3388,This is a complaint about Electricity issue.,Waste Management,High,Neutral,Electricity Board
3389,This is a complaint about Water Supply issue.,Water Supply,Medium,Positive,Waste Management Division
3390,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Water Department
3391,This is a complaint about Waste Management issue.,Water Supply,Low,Neutral,Public Works
3392,This is a complaint about Waste Management issue.,Electricity,Medium,Negative,Electricity Board
3393,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Waste Management Division
3394,This is a complaint about Road Damage issue.,Waste Management,High,Positive,Public Works
3395,This is a complaint about Road Damage issue.,Road Damage,High,Neutral,Electricity Board
3396,This is a complaint about Electricity issue.,Road Damage,High,Negative,Water Department
3397,This is a complaint about Electricity issue.,Electricity,Medium,Neutral,Public Works
3398,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Public Works
3399,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Water Department
3400,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Public Works
3401,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Electricity Board
3402,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Public Works
3403,This is a complaint about Water Supply issue.,Electricity,High,Neutral,Waste Management Division
3404,This is a complaint about Electricity issue.,Electricity,Low,Negative,Water Department
3405,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Electricity Board
3406,This is a complaint about Electricity issue.,Waste Management,Medium,Positive,Waste Management Division
3407,This is a complaint about Water Supply issue.,Water Supply,Low,Positive,Water Department
3408,This is a complaint about Waste Management issue.,Electricity,Medium,Neutral,Electricity Board
3409,This is a complaint about Electricity issue.,Road Damage,Medium,Positive,Public Works
3410,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Electricity Board
3411,This is a complaint about Electricity issue.,Waste Management,Medium,Neutral,Waste Management Division
3412,This is a complaint about Electricity issue.,Road Damage,Medium,Neutral,Public Works
3413,This is a complaint about Waste Management issue.,Electricity,Low,Neutral,Electricity Board
3414,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Public Works
3415,This is a complaint about Road Damage issue.,Road Damage,Medium,Neutral,Public Works
3416,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Electricity Board
3417,This is a complaint about Electricity issue.,Road Damage,Medium,Positive,Electricity Board
3418,This is a complaint about Electricity issue.,Electricity,High,Neutral,Waste Management Division
3419,This is a complaint about Water Supply issue.,Waste Management,Medium,Positive,Water Department
